state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.428  0.467  1.001  2.841  2.229  0.525  1.811 -1.179  1.609  2.353  3.863
2SingA      4.461  0.529  1.001  2.128  2.747  0.429  1.887 -0.420  2.050  2.713  3.750
3SingA      4.671  0.009  1.003  3.192  2.722  0.134  1.135  0.012  3.841  5.397  3.367
4SingA      4.746  0.000  1.002  2.888  3.414  0.264  1.437 -0.456  3.297  4.915  3.571
5SingA      4.818  0.068  1.001  2.225  3.062  0.428  2.040 -0.531  2.781  3.606  4.083
6SingA      4.881  0.198  1.002  2.280  2.672  0.359  1.560 -0.482  2.383  3.181  3.897
7SingA      4.895  0.011  1.000  2.099  3.128  0.495  2.429 -0.521  2.958  3.791  4.143
8SingA      4.923  0.045  1.001  2.938  3.139  0.281  1.475 -0.396  3.384  4.711  3.731
9SingA      4.947  0.233  1.001  2.906  3.295  0.283  1.478 -0.431  3.631  5.016  3.681
10SingA     5.003  0.020  1.001  3.313  1.715  0.411  1.394 -1.129  1.537  2.339  4.009
