state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.401  0.274  1.001  2.446  2.507  0.468  2.048 -0.405  1.345  1.822  4.412
2SingA      4.427  0.369  1.001  4.143  2.738  0.447  2.009 -0.764  1.572  2.353  4.307
3SingA      4.441  0.404  1.001  5.813  2.670  0.449  2.023 -1.148  1.549  2.266  4.271
4SingA      4.444  0.003  0.999  1.515  1.468  0.306  1.397  0.538  2.019  2.076  2.733
5SingA      4.499  0.308  1.003  3.099  1.622  0.112  1.077 -0.124  2.271  3.925  3.553
6SingA      4.506  0.105  1.003  5.089  1.427  0.037  1.018 -0.090  1.995  3.359  3.395
7SingA      4.509  0.041  1.003  6.391  1.533  0.023  1.014 -0.058  2.147  3.628  3.366
8SingA      4.525  0.209  1.000  2.639  3.447  0.317  1.656 -0.121  3.133  4.867  3.905
9SingA      4.537  0.002  0.999  1.529  1.500  0.309  1.407  0.463  2.041  2.151  2.850
10SingA     4.539  0.065  0.999  1.796  2.050  0.327  1.532  0.448  2.583  3.198  3.166
