state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.047  0.958  1.000  3.659  3.823  0.742  2.439 -1.357  1.988  2.572  5.174
2SingA      4.050  0.970  1.000  3.888  3.774  0.745  2.412 -1.460  1.974  2.263  5.187
3SingA      4.243  0.000  1.001  3.871  4.766  0.776  2.369 -1.433  2.755  3.251  5.419
4SingA      4.442  0.060  1.003  4.193  4.043  0.120  1.121  0.165  5.152  6.724  3.313
5SingA      4.444  0.043  1.004  4.850  2.187  0.075  1.078  0.052  2.717  3.519  3.441
6SingA      4.446  0.002  1.004  5.097  2.739  0.072  1.075  0.059  3.431  4.762  3.426
7SingA      4.456  0.002  1.000  2.272  2.319  0.274  1.424  0.428  3.095  4.099  3.031
8SingA      4.536  0.009  1.000  1.594  1.543  0.330  1.448  0.519  2.044  2.150  3.118
9SingA      4.541  0.001  1.000  1.587  1.535  0.326  1.432  0.540  2.050  2.160  3.051
10SingA     4.588  0.004  1.001  1.578  1.523  0.322  1.440  0.484  2.064  2.197  3.294
