state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.009  1.954  1.000  3.856  4.290  0.520  2.409 -0.651  2.028  2.887  4.547
2SingA      4.035  1.952  1.000  4.067  4.769  0.523  2.497 -0.717  2.262  2.794  4.455
3SingA      4.287  0.008  1.002  4.401  5.794  0.430  1.884 -0.546  3.284  4.047  4.896
4SingA      4.416  0.003  0.999  1.556  1.517  0.326  1.428  0.640  2.014  2.058  3.002
5SingA      4.500  0.059  1.004  4.932  1.108  0.011  1.008 -0.001  1.516  2.188  3.425
6SingA      4.503  0.064  1.003  3.489  1.432  0.022  1.012  0.004  1.949  3.141  3.453
7SingA      4.505  0.011  1.001  4.302  3.033  0.137  1.138  0.210  4.147  5.470  3.321
8SingA      4.505  0.012  1.000  3.250  2.463  0.227  1.328  0.402  3.327  3.805  3.214
9SingA      4.506  0.003  1.000  2.150  1.878  0.295  1.433  0.638  2.472  2.914  3.172
10SingA     4.562  0.006  1.000  1.578  1.536  0.319  1.431  0.606  2.073  2.232  3.322
