state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      3.838  0.877  1.000  2.771  3.957  0.700  2.514 -0.901  1.937  2.451  4.586
2SingA      3.843  0.864  1.000  4.527  4.035  0.701  2.522 -1.618  1.976  2.375  4.593
3SingA      4.083  0.000  1.003  3.899  4.988  0.762  2.320 -1.358  2.740  3.147  4.931
4SingA      4.471  0.000  1.000  2.617  3.561  0.738  2.903 -0.946  2.076  2.253  5.458
5SingA      4.485  0.084  1.003  3.727  1.899  0.085  1.087  0.061  2.374  3.770  3.437
6SingA      4.486  0.087  1.003  5.822  2.187  0.083  1.086  0.071  2.738  3.571  3.427
7SingA      4.491  0.001  1.004  5.239  3.202  0.085  1.082  0.062  4.061  5.385  3.455
8SingA      4.546  0.011  1.000  1.618  1.592  0.345  1.450  0.714  2.038  2.143  2.894
9SingA      4.646  0.003  1.000  1.671  1.606  0.359  1.480  0.814  2.021  2.091  3.155
10SingA     4.647  0.016  1.000  1.564  1.611  0.355  1.480  0.595  2.022  2.093  3.056
