state       dE(eV)    f     Om    POS     PR     CT    COH   CTnt  PRNTO   Z_HE  RMSeh
---------------------------------------------------------------------------------------
1SingA      4.532  0.709  1.006  2.579  2.767  0.493  2.125 -0.777  1.943  2.315  3.255
2SingA      4.532  0.710  1.006  2.119  2.767  0.493  2.125 -0.488  1.944  2.407  3.255
3SingA      4.549  0.000  1.000  1.354  1.516  0.329  1.410  0.476  2.006  2.025  2.720
4SingA      4.653  0.000  1.001  1.341  1.525  0.330  1.416  0.431  2.010  2.039  2.836
5SingA      4.653  0.000  1.001  1.380  1.525  0.330  1.416  0.523  2.010  2.038  2.836
6SingA      4.662  0.000  1.001  1.894  2.718  0.670  2.491 -0.458  2.029  2.105  4.287
7SingA      4.729  0.005  1.002  1.353  1.504  0.315  1.405  0.444  2.055  2.146  3.009
8SingA      4.850  0.000  1.013  2.288  3.555  0.463  2.476 -0.497  2.524  3.225  3.331
9SingA      5.175  0.136  1.008  2.243  2.540  0.485  1.793 -0.666  2.065  2.529  3.325
10SingA     5.175  0.136  1.008  2.831  2.548  0.485  1.796 -1.042  2.074  2.716  3.325
